"","Condition","Light_cycle","date","mean","sum","sd","sem"
"1","wt","LD",2024-02-24,9306.10344827586,269877,3638.12687622184,675.583200611036
"2","wt","LD",2024-02-25,9213.06896551724,267179,4069.9851959281,755.777277333463
"3","wt","LD",2024-02-26,10444.7586206897,302898,4769.51441564901,885.676592354267
"4","wt","LD",2024-02-27,11796.5172413793,342099,5903.26263676458,1096.20835168195
